295,0,2,0,,,,10,3.34,3,4,,,,,,1,,,
296,0,5,1,510,490,,16,2.99,4,1,,,,,,1,,,
297,1,4,0,600,710,3.76,,0.7,,0,,,,,,8,,,
298,1,5,0,520,550,,15,3.13,3,2.33,,,,,,4,,,
299,0,5,0,,,,,0.47,,0,,,,,,8,,,
300,1,5,1,550,680,,16,3,4,0,,,,,,1,,,
301,0,5,0,620,680,3.64,15,3.19,2,3.33,,,,,,4,,,
302,0,5,0,430,510,,11,2.7,3,1,,,,,,1,,,
303,0,5,,530,630,3.59,15,3.37,2,3,,,,,,6,,,
304,1,5,,,,,10,2.75,1,3.67,3.67,3,1.67,0,1.67,4,1,7,1
305,1,5,1,490,510,,15,2.65,4,2.67,,,,,,1,,,
306,0,3,1,330,410,3.4,,2.78,,0,,,,,,6,,,
307,1,5,0,,,,22,2.23,4,4,3,2.33,,0,0,1,4,7,
308,0,5,,480,600,3.39,15,2.82,4,0,,,,,,8,,,
309,0,5,0,540,520,,,2.08,,0,,,,,,8,,,
310,1,3,,440,470,3,,2.6,,0,,,,,,8,,,
311,0,5,0,540,510,,7,3.06,4,2.67,,,,,,1,,,
312,0,5,1,450,480,,18,2.39,3,1.67,,,,,,11,,,
313,1,5,0,600,610,,11,2.82,3,2,,,,,,11,,,
314,0,5,1,,,,24,2.33,3,0,,,,,,8,,,
316,0,5,1,,,,,2.18,,1.67,,,,,,4,,,
317,1,5,0,470,460,,,1.67,,1.67,,,,,,8,,,
319,0,5,1,,,,10,3.73,4,3,,,,,,6,,,
321,1,2,,430,510,,,2.37,,0,,,,,,1,,,
322,1,5,0,550,550,,18,2.73,4,1.67,,,,,,4,,,
323,1,5,0,490,650,,18,3.06,4,3.33,,,,,,8,,,
324,0,5,1,570,660,3.8,15,3.33,2,4,,,,,,8,,,
325,0,5,0,600,680,3.98,15,3.57,2,4,,,,,,1,,,
326,0,5,,500,510,3.02,15,2.9,4,1.33,,,,,,6,,,
327,0,5,,,,,7,2.62,4,0,,,,,,1,,,
328,0,5,1,540,570,,15,2.74,4,1,,,,,,1,,,
329,1,5,0,600,530,3.41,,1.83,,2.67,3,2,,0,0,6,1,4,
330,0,5,,520,500,3.86,11,3.01,4,1.67,,,,,,11,,,
331,1,5,1,520,580,3.09,18,2.7,4,0,,,,,,4,,,
332,1,5,0,580,610,,,2.24,,0,,,,,,1,,,
333,1,5,,580,620,,,1.07,,3.67,0,,,,,4,4,,
334,1,5,0,590,600,2.82,15,3.04,2,3.67,,,,,,8,,,
335,1,5,0,610,620,3.1,19,2.69,1,4,2,2.67,2.67,2.33,1.33,1,4,4,5
336,1,5,0,,,,,0,,0,,,,,,8,,,
337,0,5,,660,650,2.52,,2.43,,4,,,,,,8,,,
338,1,5,,490,520,3.16,,2.55,,2.67,1,,,,,1,1,,
339,0,5,1,530,560,,,2.13,,0,,,,,,6,,,
340,0,2,,,,,8,3.36,4,2.67,,,,,,1,,,
341,1,2,1,,,,19,2.25,4,3.67,0,,,,,4,4,,
342,0,5,,620,580,,14,3.78,4,0,,,,,,8,,,
343,0,5,1,420,530,,19,2.95,4,1,,,,,,1,,,
344,1,3,0,530,510,3.52,,2.63,,2.33,1,,,,,8,1,,
345,1,5,,560,650,3.49,,3.75,,3.33,,,,,,8,,,
346,0,5,1,520,570,3.77,,2.96,,1.67,,,,,,4,,,
347,0,4,1,600,500,3.35,30,2.78,3,1,,,,,,1,,,
348,0,5,,,,,,2.61,,3.33,2,0,,,,6,1,4,
349,0,5,,570,590,,,1.62,,0,,,,,,11,,,
350,1,5,,580,570,3.09,15,2.89,4,0,,,,,,8,,,
351,0,5,0,670,690,,14,3.57,4,2.33,,,,,,8,,,
352,1,5,,530,600,2.82,,1.95,,2,0,,,,,1,1,,
354,1,2,1,,,,12,2.27,4,0,,,,,,8,,,
355,1,5,,530,500,,,1.7,,1.67,,,,,,1,,,
356,0,3,0,,,,,1.48,,2.67,,,,,,1,,,
357,1,4,,,,,,3.61,,4,4,2.67,,,0,1,1,4,
358,0,2,1,,,,14,2.18,3,0,,,,,,8,,,
359,1,5,1,580,700,3.99,15,3.75,3,3.67,,,,,,6,,,
360,0,5,0,580,660,3.85,15,3.03,3,4,,,,,,1,,,
361,1,5,0,450,610,,15,2.93,4,4,1.67,0,,,,4,4,4,
362,1,5,0,610,550,,11,2.87,3,2.67,,,,,,1,,,
363,1,2,,580,570,3.08,,1.73,,2.33,0,,,,,11,4,,
364,1,5,1,650,650,3.05,18,2.83,4,3.67,0,,,,,6,1,,
365,0,4,,,,,,1.47,,0,,,,,,11,,,
366,1,5,0,660,670,2.9,15,3.22,4,4,,,,,,4,,,
367,1,5,,720,680,2.73,,1.3,,2.67,0,,,,,1,1,,
369,1,2,0,500,570,3.17,,2.44,,2.67,2,1,,,,8,1,4,
370,1,5,,660,580,3.42,16,3.03,1,3.67,3,3.67,1.67,2.33,1.33,1,1,7,4
371,1,5,0,,,,10,2.28,2,4,1,0,,,,6,1,4,
372,1,5,1,550,530,,18,2.36,4,0,,,,,,1,,,
373,1,5,0,600,530,3.01,16,3.11,4,1,,,,,,1,,,
374,1,5,,620,580,3.31,15,3.47,4,4,2,,,,,1,4,,
376,0,4,,,,2.6,,3.02,,2.67,,,,,,1,,,
378,1,2,1,460,450,,,2.26,,0,,,,,,1,,,
381,1,5,,,,,,1.29,,0,,,,,,4,,,
382,1,5,0,620,650,,15,3.25,4,0,,,,,,11,,,
383,0,2,,800,700,3.86,15,3.49,3,4,3,4,,1.67,0,1,4,4,
384,0,5,,,,,,4,,4,,,,,,4,,,
385,1,2,,,,,11,2.38,4,0,,,,,,1,,,
386,1,5,,530,580,3.79,,3.1,,3.67,2,0,,,,4,4,5,
387,1,5,,410,550,2.39,19,2.65,4,0,,,,,,1,,,
388,1,5,1,580,530,2.99,,2.66,,3,,,,,,1,,,
389,1,2,,,,,,0,,0,,,,,,1,,,
390,1,5,1,,,,,2.71,,1,,,,,,1,,,
392,1,5,1,390,470,1.38,26,2.63,4,1,,,,,,14,,,
393,1,5,,570,610,3.48,15,2.85,3,4,4,2,,,,4,4,4,
394,0,3,0,360,330,,,,,0,,,,,,1,,,
395,1,5,0,580,740,3.88,15,3.26,2,4,2.33,3.67,,,,4,4,4,
396,1,5,0,650,620,3.31,,2.28,,2,,,,,,1,,,
397,0,2,,,,,10,3.14,1,4,3.67,3.67,2.33,2,2,1,4,4,4
